common_name,date,prop_pop
Hudsonian Godwit,2019-02-15,0
Hudsonian Godwit,2019-02-22,0
Hudsonian Godwit,2019-03-01,0
Hudsonian Godwit,2019-03-08,0
Hudsonian Godwit,2019-03-15,0
Hudsonian Godwit,2019-03-22,0
Hudsonian Godwit,2019-03-29,0
Hudsonian Godwit,2019-04-05,2.617184064255763e-5
Hudsonian Godwit,2019-04-12,0.006202358811863796
Hudsonian Godwit,2019-04-19,0.021227303480994934
Hudsonian Godwit,2019-04-26,0.031725905688218745
Hudsonian Godwit,2019-05-03,0.04089305212119618
Hudsonian Godwit,2019-05-10,0.05899512910179745
Hudsonian Godwit,2019-05-17,0.031739985185601435
Hudsonian Godwit,2019-05-24,0.0022580514428234893
Hudsonian Godwit,2019-05-31,2.1116549580862476e-4
Hudsonian Godwit,2019-06-07,0
Hudsonian Godwit,2019-06-14,0
Hudsonian Godwit,2019-06-21,0
Hudsonian Godwit,2019-06-28,0
Hudsonian Godwit,2019-07-06,0
Hudsonian Godwit,2019-07-13,0
Hudsonian Godwit,2019-07-20,0
Hudsonian Godwit,2019-07-27,0
Hudsonian Godwit,2019-08-03,0
Hudsonian Godwit,2019-08-10,0
Hudsonian Godwit,2019-08-17,0
Hudsonian Godwit,2019-08-24,0
Hudsonian Godwit,2019-08-31,0
Hudsonian Godwit,2019-09-07,0
Hudsonian Godwit,2019-09-14,0
Hudsonian Godwit,2019-09-21,0
Hudsonian Godwit,2019-09-28,0
Hudsonian Godwit,2019-10-05,0
Hudsonian Godwit,2019-10-12,0
Hudsonian Godwit,2019-10-19,0
Hudsonian Godwit,2019-10-26,0
Hudsonian Godwit,2019-11-02,0
Hudsonian Godwit,2019-11-09,0
Hudsonian Godwit,2019-11-16,0
Hudsonian Godwit,2019-11-23,0
Hudsonian Godwit,2019-11-30,0
Hudsonian Godwit,2019-12-07,0
Hudsonian Godwit,2019-12-14,0
Hudsonian Godwit,2019-12-21,0
Hudsonian Godwit,2019-12-28,0
Willet,2019-01-04,0
Willet,2019-01-11,0
Willet,2019-01-18,0
Willet,2019-01-25,0
Willet,2019-02-01,0
Willet,2019-02-08,0
Willet,2019-02-15,0
Willet,2019-02-22,0
Willet,2019-03-01,0
Willet,2019-03-08,0
Willet,2019-03-15,0
Willet,2019-03-22,0
Willet,2019-03-29,0
Willet,2019-04-05,3.966709656480736e-7
Willet,2019-04-12,2.6050207839401813e-5
Willet,2019-04-19,3.657136189336292e-4
Willet,2019-04-26,0.0019642491059357493
Willet,2019-05-03,0.0012601776767383254
Willet,2019-05-10,3.8207301346976184e-4
Willet,2019-05-17,1.8721491523603675e-4
Willet,2019-05-24,3.934802979826881e-5
Willet,2019-05-31,0
Willet,2019-06-07,0
Willet,2019-06-14,0
Willet,2019-06-21,0
Willet,2019-06-28,0
